tick,node,drive,phase_tick,coherence,energy,phase,pathway
5,0,0,6,0,0,free,free_pool
5,1,0,6,0,0,free,free_pool
5,2,0,6,0,0,free,free_pool
5,3,0,6,0,0,free,free_pool
5,4,0,6,0,0,free,free_pool
5,5,0,6,0,0,free,free_pool
5,6,0,6,0,0,free,free_pool
5,7,0,6,0,0,free,free_pool
5,8,0,6,0,0,free,free_pool
5,9,0,6,0,0,free,free_pool
5,10,0,6,0,0,free,free_pool
5,11,0,6,0,0,free,free_pool
5,12,0,6,0,0,free,free_pool
5,13,0,6,0,0,free,free_pool
5,14,0,6,0,0,free,free_pool
5,15,0,6,0,0,free,free_pool
5,16,0,6,0,0,free,free_pool
5,17,0,6,0,0,free,free_pool
5,18,0,6,0,0,free,free_pool
5,19,0,6,0,0,free,free_pool
5,20,0,6,0,0,free,free_pool
5,21,0,6,0,0,free,free_pool
5,22,0,6,0,0,free,free_pool
5,23,0,6,0,0,free,free_pool
5,24,1,6,3,1,formation,depression_consumption
5,25,0,6,1,1,formation,depression_consumption
5,26,0,6,0,1,free,free_pool
5,27,0,6,0,0,free,free_pool
5,28,0,6,0,0,free,free_pool
5,29,0,6,0,0,free,free_pool
5,30,0,6,0,0,free,free_pool
5,31,0,6,0,0,free,free_pool
6,0,0,7,0,0,free,free_pool
6,1,0,7,0,0,free,free_pool
6,2,0,7,0,0,free,free_pool
6,3,0,7,0,0,free,free_pool
6,4,0,7,0,0,free,free_pool
6,5,0,7,0,0,free,free_pool
6,6,0,7,0,0,free,free_pool
6,7,0,7,0,0,free,free_pool
6,8,0,7,0,0,free,free_pool
6,9,0,7,0,0,free,free_pool
6,10,0,7,0,0,free,free_pool
6,11,0,7,0,0,free,free_pool
6,12,0,7,0,0,free,free_pool
6,13,0,7,0,0,free,free_pool
6,14,0,7,0,0,free,free_pool
6,15,0,7,0,0,free,free_pool
6,16,0,7,0,0,free,free_pool
6,17,0,7,0,0,free,free_pool
6,18,0,7,0,0,free,free_pool
6,19,0,7,0,0,free,free_pool
6,20,0,7,0,0,free,free_pool
6,21,0,7,0,0,free,free_pool
6,22,0,7,0,0,free,free_pool
6,23,1,7,3,1,formation,depression_consumption
6,24,0,7,1,1,formation,depression_consumption
6,25,0,7,0,1,free,free_pool
6,26,0,7,0,0,free,free_pool
6,27,0,7,0,0,free,free_pool
6,28,0,7,0,0,free,free_pool
6,29,0,7,0,0,free,free_pool
6,30,0,7,0,0,free,free_pool
6,31,0,7,0,0,free,free_pool
7,0,0,8,0,0,free,free_pool
7,1,0,8,0,0,free,free_pool
7,2,0,8,0,0,free,free_pool
7,3,0,8,0,0,free,free_pool
7,4,0,8,0,0,free,free_pool
7,5,0,8,0,0,free,free_pool
7,6,0,8,0,0,free,free_pool
7,7,0,8,0,0,free,free_pool
7,8,0,8,0,0,free,free_pool
7,9,0,8,0,0,free,free_pool
7,10,0,8,0,0,free,free_pool
7,11,0,8,0,0,free,free_pool
7,12,0,8,0,0,free,free_pool
7,13,0,8,0,0,free,free_pool
7,14,0,8,0,0,free,free_pool
7,15,0,8,0,0,free,free_pool
7,16,0,8,0,0,free,free_pool
7,17,0,8,0,0,free,free_pool
7,18,0,8,0,0,free,free_pool
7,19,0,8,0,0,free,free_pool
7,20,0,8,0,0,free,free_pool
7,21,0,8,0,0,free,free_pool
7,22,1,8,3,1,formation,depression_consumption
7,23,0,8,1,1,formation,depression_consumption
7,24,0,8,0,1,free,free_pool
7,25,0,8,0,0,free,free_pool
7,26,0,8,0,0,free,free_pool
7,27,0,8,0,0,free,free_pool
7,28,0,8,0,0,free,free_pool
7,29,0,8,0,0,free,free_pool
7,30,0,8,0,0,free,free_pool
7,31,0,8,0,0,free,free_pool
8,0,0,9,0,0,free,free_pool
8,1,0,9,0,0,free,free_pool
8,2,0,9,0,0,free,free_pool
8,3,0,9,0,0,free,free_pool
8,4,0,9,0,0,free,free_pool
8,5,0,9,0,0,free,free_pool
8,6,0,9,0,0,free,free_pool
8,7,0,9,0,0,free,free_pool
8,8,0,9,0,0,free,free_pool
8,9,0,9,0,0,free,free_pool
8,10,0,9,0,0,free,free_pool
8,11,0,9,0,0,free,free_pool
8,12,0,9,0,0,free,free_pool
8,13,0,9,0,0,free,free_pool
8,14,0,9,0,0,free,free_pool
8,15,0,9,0,0,free,free_pool
8,16,0,9,0,0,free,free_pool
8,17,0,9,0,0,free,free_pool
8,18,0,9,0,0,free,free_pool
8,19,0,9,0,0,free,free_pool
8,20,0,9,0,0,free,free_pool
8,21,1,9,3,1,formation,depression_consumption
8,22,0,9,1,1,formation,depression_consumption
8,23,0,9,0,1,free,free_pool
8,24,0,9,0,0,free,free_pool
8,25,0,9,0,0,free,free_pool
8,26,0,9,0,0,free,free_pool
8,27,0,9,0,0,free,free_pool
8,28,0,9,0,0,free,free_pool
8,29,0,9,0,0,free,free_pool
8,30,0,9,0,0,free,free_pool
8,31,0,9,0,0,free,free_pool
9,0,0,10,0,0,free,free_pool
9,1,0,10,0,0,free,free_pool
9,2,0,10,0,0,free,free_pool
9,3,0,10,0,0,free,free_pool
9,4,0,10,0,0,free,free_pool
9,5,0,10,0,0,free,free_pool
9,6,0,10,0,0,free,free_pool
9,7,0,10,0,0,free,free_pool
9,8,0,10,0,0,free,free_pool
9,9,0,10,0,0,free,free_pool
9,10,0,10,0,0,free,free_pool
9,11,0,10,0,0,free,free_pool
9,12,0,10,0,0,free,free_pool
9,13,0,10,0,0,free,free_pool
9,14,0,10,0,0,free,free_pool
9,15,0,10,0,0,free,free_pool
9,16,0,10,0,0,free,free_pool
9,17,0,10,0,0,free,free_pool
9,18,0,10,0,0,free,free_pool
9,19,0,10,0,0,free,free_pool
9,20,1,10,3,1,formation,depression_consumption
9,21,0,10,1,1,formation,depression_consumption
9,22,0,10,0,1,free,free_pool
9,23,0,10,0,0,free,free_pool
9,24,0,10,0,0,free,free_pool
9,25,0,10,0,0,free,free_pool
9,26,0,10,0,0,free,free_pool
9,27,0,10,0,0,free,free_pool
9,28,0,10,0,0,free,free_pool
9,29,0,10,0,0,free,free_pool
9,30,0,10,0,0,free,free_pool
9,31,0,10,0,0,free,free_pool
10,0,0,11,0,0,free,free_pool
10,1,0,11,0,0,free,free_pool
10,2,0,11,0,0,free,free_pool
10,3,0,11,0,0,free,free_pool
10,4,0,11,0,0,free,free_pool
10,5,0,11,0,0,free,free_pool
10,6,0,11,0,0,free,free_pool
10,7,0,11,0,0,free,free_pool
10,8,0,11,0,0,free,free_pool
10,9,0,11,0,0,free,free_pool
10,10,0,11,0,0,free,free_pool
10,11,0,11,0,0,free,free_pool
10,12,0,11,0,0,free,free_pool
10,13,0,11,0,0,free,free_pool
10,14,0,11,0,0,free,free_pool
10,15,0,11,0,0,free,free_pool
10,16,0,11,0,0,free,free_pool
10,17,0,11,0,0,free,free_pool
10,18,0,11,0,0,free,free_pool
10,19,1,11,3,1,formation,depression_consumption
10,20,0,11,1,1,formation,depression_consumption
10,21,0,11,0,1,free,free_pool
10,22,0,11,0,0,free,free_pool
10,23,0,11,0,0,free,free_pool
10,24,0,11,0,0,free,free_pool
10,25,0,11,0,0,free,free_pool
10,26,0,11,0,0,free,free_pool
10,27,0,11,0,0,free,free_pool
10,28,0,11,0,0,free,free_pool
10,29,0,11,0,0,free,free_pool
10,30,0,11,0,0,free,free_pool
10,31,0,11,0,0,free,free_pool
11,0,0,12,0,0,free,free_pool
11,1,0,12,0,0,free,free_pool
11,2,0,12,0,0,free,free_pool
11,3,0,12,0,0,free,free_pool
11,4,0,12,0,0,free,free_pool
11,5,0,12,0,0,free,free_pool
11,6,0,12,0,0,free,free_pool
11,7,0,12,0,0,free,free_pool
11,8,0,12,0,0,free,free_pool
11,9,0,12,0,0,free,free_pool
11,10,0,12,0,0,free,free_pool
11,11,0,12,0,0,free,free_pool
11,12,0,12,0,0,free,free_pool
11,13,0,12,0,0,free,free_pool
11,14,0,12,0,0,free,free_pool
11,15,0,12,0,0,free,free_pool
11,16,0,12,0,0,free,free_pool
11,17,0,12,0,0,free,free_pool
11,18,1,12,3,1,formation,depression_consumption
11,19,0,12,1,1,formation,depression_consumption
11,20,0,12,0,1,free,free_pool
11,21,0,12,0,0,free,free_pool
11,22,0,12,0,0,free,free_pool
