tick,node,drive,phase_tick,coherence,energy,phase
23,2,0,24,0,0,free
23,3,0,24,0,0,free
23,4,0,24,0,0,free
23,5,0,24,0,0,free
23,6,1,24,4,1,formation
23,7,0,24,3,1,liftoff
23,8,0,24,2,1,liftoff
23,9,0,24,1,1,liftoff
23,10,0,24,0,1,coherence
23,11,0,24,0,1,drift
23,12,0,24,0,1,dissolution
23,13,0,24,0,0,free
23,14,0,24,0,0,free
23,15,0,24,0,0,free
23,16,0,24,0,0,free
23,17,0,24,0,0,free
23,18,0,24,0,0,free
23,19,0,24,0,0,free
23,20,0,24,0,0,free
23,21,0,24,0,0,free
23,22,0,24,0,0,free
23,23,0,24,0,0,free
23,24,0,24,0,0,free
23,25,0,24,0,0,free
23,26,0,24,0,0,free
23,27,0,24,0,0,free
23,28,0,24,0,0,free
23,29,0,24,0,0,free
23,30,0,24,0,0,free
23,31,0,24,0,0,free
24,0,0,25,0,0,free
24,1,0,25,0,0,free
24,2,0,25,0,0,free
24,3,0,25,0,0,free
24,4,0,25,0,0,free
24,5,1,25,0,1,free
24,6,0,25,3,1,liftoff
24,7,0,25,2,1,liftoff
24,8,0,25,1,1,liftoff
24,9,0,25,0,1,coherence
24,10,0,25,0,1,drift
24,11,0,25,0,1,dissolution
24,12,0,25,0,0,free
24,13,0,25,0,0,free
24,14,0,25,0,0,free
24,15,0,25,0,0,free
24,16,0,25,0,0,free
24,17,0,25,0,0,free
24,18,0,25,0,0,free
24,19,0,25,0,0,free
24,20,0,25,0,0,free
24,21,0,25,0,0,free
24,22,0,25,0,0,free
24,23,0,25,0,0,free
24,24,0,25,0,0,free
24,25,0,25,0,0,free
24,26,0,25,0,0,free
24,27,0,25,0,0,free
24,28,0,25,0,0,free
24,29,0,25,0,0,free
24,30,0,25,0,0,free
24,31,0,25,0,0,free
25,0,0,26,0,0,free
25,1,0,26,0,0,free
25,2,0,26,0,0,free
25,3,0,26,0,0,free
25,4,1,26,0,1,free
25,5,0,26,0,0,free
25,6,0,26,2,1,liftoff
25,7,0,26,1,1,liftoff
25,8,0,26,0,1,coherence
25,9,0,26,0,1,drift
25,10,0,26,0,1,dissolution
25,11,0,26,0,0,free
25,12,0,26,0,0,free
25,13,0,26,0,0,free
25,14,0,26,0,0,free
25,15,0,26,0,0,free
25,16,0,26,0,0,free
25,17,0,26,0,0,free
25,18,0,26,0,0,free
25,19,0,26,0,0,free
25,20,0,26,0,0,free
25,21,0,26,0,0,free
25,22,0,26,0,0,free
25,23,0,26,0,0,free
25,24,0,26,0,0,free
25,25,0,26,0,0,free
25,26,0,26,0,0,free
25,27,0,26,0,0,free
25,28,0,26,0,0,free
25,29,0,26,0,0,free
25,30,0,26,0,0,free
25,31,0,26,0,0,free
26,0,0,27,0,0,free
26,1,0,27,0,0,free
26,2,0,27,0,0,free
26,3,1,27,0,1,free
26,4,0,27,0,0,free
26,5,0,27,0,0,free
26,6,0,27,1,1,liftoff
26,7,0,27,0,1,coherence
26,8,0,27,0,1,drift
26,9,0,27,0,1,dissolution
26,10,0,27,0,0,free
26,11,0,27,0,0,free
26,12,0,27,0,0,free
26,13,0,27,0,0,free
26,14,0,27,0,0,free
26,15,0,27,0,0,free
26,16,0,27,0,0,free
26,17,0,27,0,0,free
26,18,0,27,0,0,free
26,19,0,27,0,0,free
26,20,0,27,0,0,free
26,21,0,27,0,0,free
26,22,0,27,0,0,free
26,23,0,27,0,0,free
26,24,0,27,0,0,free
26,25,0,27,0,0,free
26,26,0,27,0,0,free
26,27,0,27,0,0,free
26,28,0,27,0,0,free
26,29,0,27,0,0,free
26,30,0,27,0,0,free
26,31,0,27,0,0,free
27,0,0,28,0,0,free
27,1,0,28,0,0,free
27,2,1,28,0,1,free
27,3,0,28,0,0,free
27,4,0,28,0,0,free
27,5,0,28,0,0,free
27,6,0,28,0,1,coherence
27,7,0,28,0,1,drift
27,8,0,28,0,1,dissolution
27,9,0,28,0,0,free
27,10,0,28,0,0,free
27,11,0,28,0,0,free
27,12,0,28,0,0,free
27,13,0,28,0,0,free
27,14,0,28,0,0,free
27,15,0,28,0,0,free
27,16,0,28,0,0,free
27,17,0,28,0,0,free
27,18,0,28,0,0,free
27,19,0,28,0,0,free
27,20,0,28,0,0,free
27,21,0,28,0,0,free
27,22,0,28,0,0,free
